symbol,name,exchange,currency
PIAI.UN,Prime Impact Acquisition I,New York Stock Exchange,
ACAQ.UN,Athena Consumer Acquisition Corp.,New York Stock Exchange,
FSNB.UN,Fusion Acquisition Corp. II,New York Stock Exchange,
ACRO.UN,Acropolis Infrastructure Acquisition Corp.,New York Stock Exchange,
HRR.UN.TO,Australian REIT Income Fund,Toronto Stock Exchange,
IPVF.UN,InterPrivate III Financial Partners Inc.,New York Stock Exchange,
MBAC.UN,M3-Brigade Acquisition II Corp.,New York Stock Exchange,
PORT.UN,Southport Acquisition Corporation,New York Stock Exchange,
FACT.UN,Freedom Acquisition I Corp.,New York Stock Exchange,
GOGN.UN,GoGreen Investments Corporation,New York Stock Exchange,
HWKZ.UN,Hawks Acquisition Corp,New York Stock Exchange,
EOCW.UN,Elliott Opportunity II Corp.,New York Stock Exchange,
LHC.UN,Leo Holdings Corp. II,New York Stock Exchange,
KNSW.UN,KnightSwan Acquisition Corporation,New York Stock Exchange,
OSI.UN,Osiris Acquisition Corp.,New York Stock Exchange,
QFTA.UN,Quantum FinTech Acquisition Corporation,New York Stock Exchange,
HMA.UN,Heartland Media Acquisition Corp.,New York Stock Exchange,
